FUNCTION                                    CALLS      %   TIME  [uS / CALLS]
--------                                    -----    ---   ----  [----------]
group:io_request/5                              8   0.00      7  [      0.88]
group:getopts/2                                 2   0.00      7  [      3.50]
erl_scan:token_info/2                           4   0.00      7  [      1.75]
erl_eval:expr/5                                 7   0.00      7  [      1.00]
tuple_space:'-funky/1-fun-0-'/1                20   0.00      7  [      0.35]
lists:usort/1                                  10   0.00      7  [      0.70]
erl_lint:'-exprs_opt/3-fun-0-'/2               10   0.00      7  [      0.70]
global:set_lock/4                               6   0.00      7  [      1.17]
global:local_lock_check/2                       6   0.00      7  [      1.17]
global:can_set_lock/1                           5   0.00      7  [      1.40]
erlang:min/2                                    6   0.00      7  [      1.17]
shell:del_cmd/4                                 8   0.00      7  [      0.88]
shell:check_and_get_history_and_results/0       2   0.00      7  [      3.50]
erl_parse:check_clauses/3                       2   0.00      7  [      3.50]
erl_parse:yeccpars1/7                          21   0.00      7  [      0.33]
erl_parse:'-check_clauses/3-fun-0-'/3           2   0.00      7  [      3.50]
io:execute_request/2                            8   0.00      8  [      1.00]
group:get_tty_geometry/1                        2   0.00      8  [      4.00]
io_lib_format:fwrite/2                          8   0.00      8  [      1.00]
io_lib_format:field_value/2                     8   0.00      8  [      1.00]
io_lib_format:field_value/3                    12   0.00      8  [      0.67]
erl_lint:'-start/2-lc$^0/1-0-'/1               28   0.00      8  [      0.29]
gen_server:do_multi_call/4                     10   0.00      8  [      0.80]
gen_server:send_nodes/5                        20   0.00      8  [      0.40]
global:pid_is_locking/2                         5   0.00      8  [      1.60]
erlang:tuple_to_list/1                         20   0.00      8  [      0.40]
erlang:make_ref/0                              10   0.00      8  [      0.80]
erlang:group_leader/0                           8   0.00      8  [      1.00]
uuid:to_string/2                                2   0.00      9  [      4.50]
erl_scan:scan1/5                               13   0.00      9  [      0.69]
tuple_space:match/3                            14   0.00      9  [      0.64]
lists:map/2                                    27   0.00      9  [      0.33]
io_lib_format:collect/2                        16   0.00      9  [      0.56]
io_lib_format:build/3                          16   0.00      9  [      0.56]
gen_server:multi_call/3                        10   0.00      9  [      0.90]
gen_server:send_nodes/4                        10   0.00      9  [      0.90]
random:uniform/1                                5   0.00      9  [      1.80]
lists:keyfind/3                                 9   0.00      9  [      1.00]
erlang:list_to_atom/1                           5   0.00      9  [      1.80]
group:io_request/3                             12   0.00     10  [      0.83]
erl_scan:scan_name/2                           46   0.00     10  [      0.22]
tuple_space:selector/6                          6   0.00     10  [      1.67]
tuple_space:random_wait/0                       5   0.00     10  [      2.00]
erl_lint:modify_line1/2                        21   0.00     10  [      0.48]
erlang:port_control/3                           4   0.00     10  [      2.50]
erl_lint:bool_option/4                         26   0.00     11  [      0.42]
gen_server:handle_common_reply/6                7   0.00     11  [      1.57]
application:get_env/2                          16   0.00     11  [      0.69]
edlin:edit/5                                   58   0.00     12  [      0.21]
tuple_space:funky/1                             5   0.00     12  [      2.40]
lists:flatlength/2                             66   0.00     12  [      0.18]
global:do_monitor/1                             5   0.00     12  [      2.40]
erl_parse:yeccpars2/7                          23   0.00     12  [      0.52]
ets:delete/2                                    4   0.00     12  [      3.00]
io_lib_format:control/9                         6   0.00     13  [      2.17]
